V1	V2	V3	V4	V5	V6	V7	V8	V9
182	0.952	0.654	0.526	0.605	0.184	0.015	0.011	0.125	0.585
183	0.699	0.163	0.498	0.338	0.614	0.012	0.003	0.427	0.711
184	0.853	0.796	0.417	0.762	0.856	0.13	0.012	0.098	0.343
185	0.358	0.395	0.443	0.723	0.621	0.149	0.003	0.091	0.273
186	0.538	0.867	0.289	0.146	0.999	0.115	0.001	0.066	0.628
187	0.367	0.854	0.239	0.356	0.673	0.001	0.011	0.038	0.819
188	0.613	0.194	0.291	0.152	0.965	0.089	0.002	0.169	0.539
189	0.808	0.381	0.992	0.616	0.512	0.01	0.031	0.097	0.871
190	0.426	0.073	0.483	0.693	0.348	0.058	0.011	0.042	0.531
191	0.839	0.688	0.261	0.725	0.619	0.004	0.042	0.074	0.713
192	0.741	0.597	0.189	0.194	0.74	0.262	0.001	0.09	0.708
193	0.716	0.311	0.574	0.256	0.914	0.082	0.028	0.04	0.909
194	0.678	0.204	0.364	0.323	0.843	0.207	0.007	0.343	0.822
195	0.461	0.166	0.757	0.2	0.786	0.052	0.012	0.149	0.372
196	0.434	0.477	0.182	0.066	0.976	0.048	0.001	0.123	0.366
197	0.501	0.328	0.295	0.203	0.37	0.104	0.03	0.069	0.27
198	0.181	0.845	0.883	0.584	0.528	0.063	0.013	0.025	0.575
199	0.802	0.241	0.674	0.45	0.998	0.433	0.078	0.016	0.846
200	0.834	0.249	0.357	0.869	0.933	0.063	0.006	0.01	0.481
201	0.738	0.591	0.26	0.588	0.824	0.071	0.007	0.399	0.477
202	0.393	0.725	0.182	0.922	0.435	0.094	0.105	0.265	0.502
203	0.126	0.454	0.323	0.217	0.285	0.21	0.003	0.272	0.547
204	0.847	0.232	0.639	0.393	0.728	0.121	0.001	0.019	0.855
205	0.443	0.992	0.199	0.203	0.667	0.323	0.001	0.016	0.469
206	0.336	0.959	0.507	0.947	0.169	0.079	0.001	0.245	0.718
207	0.201	0.287	0.61	0.229	0.601	0.032	0.002	0.041	0.544
208	0.22	0.357	0.959	0.571	0.866	0.034	0.001	0.018	0.952
209	0.238	0.182	0.103	0.284	0.264	0.004	0.035	0.143	0.468
210	0.31	0.593	0.362	0.519	0.451	0.025	0.122	0.154	0.26
211	0.37	0.093	0.587	0.933	0.91	0.018	0.134	0.089	0.427
212	0.294	0.088	0.385	0.307	0.355	0.038	0.072	0.055	0.523
213	0.685	0.29	0.946	0.4	0.834	0.077	0.01	0.311	0.506
214	0.927	0.362	0.15	0.335	0.401	0.16	0.001	0.012	0.768
215	0.935	0.211	0.878	0.131	0.81	0.072	0.009	0.05	0.477
216	0.121	0.323	0.269	0.555	0.774	0.181	0.019	0.228	0.663
217	0.304	0.361	0.78	0.836	0.365	0.132	0.022	0.008	0.299
218	0.457	0.462	0.475	0.273	0.477	0.039	0.026	0.063	0.432
219	0.915	0.492	0.266	0.221	0.934	0.062	0.002	0.015	0.396
220	0.337	0.225	0.153	0.112	0.64	0.08	0.131	0.027	0.53
221	0.573	0.102	0.705	0.233	0.439	0.054	0.022	0.033	0.368
222	0.683	0.351	0.23	0.089	0.922	0.073	0.003	0.01	0.747
223	0.323	0.886	0.32	0.306	0.662	0.201	0.08	0.084	0.365
224	0.432	0.642	0.304	0.272	0.582	0.033	0.003	0.015	0.536
225	0.419	0.608	0.273	0.542	0.631	0.17	0.01	0.251	0.353
226	0.108	0.617	0.469	0.339	0.177	0.322	0.019	0.074	0.535
227	0.455	0.753	0.499	0.553	0.939	0.252	0.002	0.019	0.503
228	0.07	0.877	0.279	0.12	0.558	0.019	0.021	0.186	0.834
229	0.797	0.6	0.664	0.405	0.793	0.055	0.242	0.575	0.553
230	0.235	0.287	0.467	0.316	0.397	0.186	0.018	0.32	0.906
231	0.685	0.298	0.466	0.518	0.793	0.057	0.004	0.054	0.267
232	0.988	0.172	0.189	0.122	0.777	0.117	0.001	0.009	0.96
233	0.376	0.24	0.091	0.577	0.6	0.007	0.005	0.168	0.58
234	0.433	0.337	0.715	0.584	0.632	0.017	0.023	0.064	0.595
235	0.274	0.263	0.673	0.748	0.545	0.108	0.123	0.109	0.684
236	0.312	0.148	0.404	0.546	0.952	0.028	0.037	0.004	0.278
237	0.345	0.401	0.264	0.159	0.709	0.051	0.026	0.542	0.385
238	0.075	0.285	0.13	0.991	0.871	0.025	0.004	0.128	0.59
239	0.935	0.511	0.942	0.793	0.814	0.018	0.003	0.014	0.314
240	0.461	0.236	0.503	0.187	0.48	0.019	0.013	0.044	0.575
241	0.451	0.365	0.299	0.881	0.993	0.465	0.025	0.008	0.77
242	0.719	0.834	0.541	0.291	0.487	0.055	0.083	0.029	0.905
243	0.623	0.888	0.236	0.222	0.5	0.004	0.018	0.006	0.766
244	0.349	0.512	0.317	0.502	0.484	0.135	0.001	0.161	0.504
245	0.381	0.172	0.728	0.562	0.149	0.07	0.093	0.002	0.447
246	0.853	0.633	0.178	0.323	0.537	0.329	0.001	0.033	0.877
247	0.664	0.39	0.441	0.365	0.487	0.041	0.002	0.024	0.42
248	0.673	0.751	0.622	0.268	0.483	0.009	0.001	0.002	0.395
249	0.291	0.581	0.133	0.57	0.987	0.075	0.004	0.057	0.611
250	0.948	0.283	0.492	0.22	0.197	0.059	0.001	0.158	0.725
251	0.573	0.74	0.458	0.212	0.82	0.259	0.005	0.049	0.741
252	0.485	0.492	0.527	0.689	0.554	0.079	0.018	0.514	0.305
253	0.419	0.225	0.329	0.403	0.703	0.027	0.004	0.2	0.497
254	0.323	0.653	0.38	0.172	0.327	0.065	0.209	0.013	0.73
255	0.929	0.704	0.371	0.205	0.962	0.007	0.033	0.315	0.235
256	0.629	0.824	0.369	0.27	0.45	0.077	0.005	0.001	0.427
257	0.712	0.387	0.527	0.93	0.169	0.114	0.02	0.087	0.275
258	0.736	0.779	0.495	0.192	0.291	0.026	0.001	0.002	0.485
259	0.798	0.291	0.589	0.765	0.72	0.027	0.017	0.028	0.548
260	0.503	0.833	0.142	0.179	0.212	0.172	0.003	0.216	0.637
261	0.863	0.566	0.971	0.227	0.363	0.047	0.007	0.043	0.444
262	0.783	0.356	0.606	0.401	0.894	0.017	0.017	0.066	0.676
263	0.656	0.88	0.28	0.242	0.529	0.123	0.068	0.123	0.718
264	0.599	0.16	0.194	0.261	0.639	0.009	0.074	0.027	0.701
265	0.62	0.389	0.374	0.215	0.85	0.195	0.001	0.079	0.626
266	0.916	0.205	0.263	0.457	0.62	0.061	0.012	0.003	0.586
267	0.831	0.375	0.454	0.458	0.276	0.008	0.093	0.072	0.818
268	0.325	0.219	0.414	0.551	0.865	0.071	0.004	0.265	0.876
269	0.833	0.656	0.994	0.201	0.722	0.017	0.384	0.318	0.507
270	0.939	0.315	0.318	0.803	0.77	0.057	0.002	0.259	0.933
271	0.358	0.224	0.214	0.608	0.479	0.039	0.009	0.156	0.297
272	0.978	0.232	0.204	0.621	0.466	0.062	0.001	0.485	0.499
273	0.427	0.427	0.279	0.358	0.557	0.101	0.001	0.147	0.926
274	0.174	0.308	0.64	0.367	0.91	0.009	0.023	0.003	0.719
275	0.781	0.23	0.702	0.39	0.912	0.008	0.024	0.155	0.794
276	0.435	0.267	0.372	0.523	0.356	0.264	0.028	0.651	0.892
277	0.441	0.102	0.075	0.235	0.601	0.021	0.03	0.062	0.52
278	0.689	0.252	0.212	0.658	0.92	0.033	0.029	0.038	0.741
279	0.461	0.102	0.231	0.536	0.473	0.068	0.023	0.058	0.525
280	0.385	0.168	0.602	0.111	0.914	0.004	0.093	0.043	0.541
281	0.995	0.382	0.131	0.222	0.19	0.057	0.073	0.102	0.729
282	0.175	0.601	0.341	0.208	0.774	0.016	0.005	0.099	0.508
283	0.677	0.26	0.679	0.183	0.377	0.018	0.264	0.049	0.905
284	0.921	0.332	0.713	0.418	0.239	0.021	0.028	0.218	0.518
285	0.245	0.382	0.409	0.469	0.883	0.05	0.001	0.105	0.671
286	0.826	0.424	0.507	0.509	0.894	0.047	0.173	0.093	0.73
287	0.392	0.289	0.165	0.794	0.721	0.113	0.007	0.206	0.736
288	0.298	0.496	0.112	0.174	0.655	0.005	0.012	0.098	0.631
289	0.719	0.777	0.76	0.519	0.494	0.125	0.001	0.02	0.429
290	0.579	0.244	0.34	0.794	0.927	0.004	0.001	0.053	0.361
291	0.594	0.499	0.569	0.249	0.821	0.021	0.008	0.032	0.618
292	0.674	0.223	0.348	0.763	0.989	0.037	0.005	0.201	0.982
293	0.263	0.095	0.18	0.698	0.496	0.965	0.033	0.235	0.592
294	0.352	0.223	0.415	0.465	0.462	0.117	0.037	0.437	0.435
295	0.276	0.267	0.354	0.338	0.303	0.027	0.151	0.065	0.439
296	0.533	0.604	0.516	0.115	0.334	0.018	0.001	0.157	0.679
297	0.566	0.528	0.156	0.289	0.791	0.242	0.012	0.015	0.531
298	0.74	0.18	0.32	0.571	0.768	0.082	0.111	0.171	0.297
299	0.666	0.593	0.4	0.665	0.346	0.057	0.002	0.021	0.747
300	0.124	0.195	0.101	0.186	0.68	0.065	0.001	0.29	0.506
301	0.593	0.888	0.292	0.271	0.465	0.1	0.013	0.087	0.587
302	0.571	0.545	0.38	0.262	0.605	0.056	0.084	0.015	0.578
303	0.876	0.922	0.362	0.291	0.933	0.181	0.058	0.166	0.364
304	0.903	0.323	0.458	0.637	0.981	0.005	0.011	0.406	0.918
305	0.224	0.524	0.943	0.993	0.905	0.079	0.002	0.148	0.428
306	0.197	0.278	0.357	0.77	0.654	0.15	0.009	0.034	0.664
307	0.094	0.429	0.152	0.412	0.186	0.008	0.005	0.248	0.892
308	0.898	0.321	0.408	0.3	0.472	0.142	0.006	0.012	0.595
309	0.838	0.927	0.142	0.188	0.963	0.027	0.012	0.049	0.438
310	0.52	0.526	0.351	0.601	0.945	0.077	0.013	0.056	0.389
311	0.55	0.207	0.648	0.283	0.542	0.03	0.036	0.112	0.44
312	0.417	0.43	0.488	0.478	0.898	0.114	0.003	0.066	0.945
313	0.698	0.438	0.208	0.516	0.367	0.043	0.287	0.036	0.407
314	0.965	0.742	0.467	0.508	0.684	0.013	0.006	0.102	0.478
315	0.855	0.46	0.179	0.494	0.614	0.004	0.001	0.005	0.356
316	0.759	0.206	0.424	0.298	0.559	0.005	0.012	0.106	0.743
317	0.599	0.394	0.906	0.404	0.674	0.037	0.001	0.109	0.494
318	0.21	0.321	0.594	0.146	0.754	0.015	0.001	0.011	0.433
319	0.469	0.225	0.269	0.704	0.886	0.063	0.009	0.236	0.525
320	0.989	0.102	0.28	0.678	0.391	0.018	0.001	0.07	0.583
321	0.256	0.219	0.896	0.251	0.923	0.08	0.056	0.06	0.755
322	0.267	0.065	0.269	0.24	0.515	0.252	0.015	0.006	0.627
323	0.45	0.428	0.135	0.62	0.646	0.077	0.022	0.251	0.472
324	0.489	0.179	0.266	0.88	0.713	0.149	0.038	0.028	0.458
325	0.308	0.652	0.283	0.279	0.988	0.037	0.002	0.006	0.941
326	0.347	0.195	0.462	0.291	0.165	0.05	0.054	0.025	0.685
327	0.824	0.211	0.354	0.696	0.234	0.051	0.033	0.027	0.454
328	0.716	0.407	0.388	0.429	0.542	0.654	0.002	0.033	0.388
329	0.905	0.127	0.336	0.183	0.716	0.023	0.031	0.023	0.465
330	0.991	0.122	0.571	0.296	0.355	0.103	0.002	0.111	0.673
331	0.53	0.225	0.409	0.383	0.643	0.025	0.005	0.005	0.624
332	0.572	0.93	0.378	0.504	0.512	0.021	0.003	0.039	0.454
333	0.984	0.465	0.101	0.248	0.945	0.016	0.058	0.01	0.281
334	0.525	0.721	0.069	0.269	0.657	0.059	0.009	0.023	0.984
335	0.558	0.217	0.373	0.346	0.592	0.068	0.023	0.12	0.637
336	0.213	0.258	0.942	0.337	0.228	0.204	0.052	0.32	0.791
337	0.729	0.282	0.395	0.36	0.746	0.015	0.001	0.007	0.558
338	0.213	0.199	0.397	0.259	0.808	0.033	0.009	0.067	0.376
339	0.75	0.347	0.637	0.347	0.73	0.054	0.021	0.005	0.505
340	0.568	0.281	0.486	0.614	0.71	0.066	0.002	0.351	0.73
341	0.315	0.104	0.451	0.302	0.744	0.349	0.005	0.024	0.45
342	0.567	0.677	0.945	0.244	0.446	0.006	0.001	0.18	0.649
343	0.34	0.236	0.871	0.299	0.609	0.02	0.01	0.008	0.447
344	0.694	0.519	0.113	0.318	0.684	0.478	0.001	0.029	0.638
345	0.999	0.133	0.142	0.555	0.99	0.016	0.029	0.076	0.578
346	0.772	0.4	0.197	0.779	0.229	0.18	0.003	0.174	0.781
347	0.792	0.998	0.313	0.376	0.25	0.026	0.009	0.038	0.659
348	0.168	0.422	0.381	0.409	0.711	0.076	0.22	0.01	0.291
349	0.846	0.283	0.919	0.316	0.744	0.008	0.079	0.142	0.443
350	0.667	0.644	0.286	0.385	0.567	0.08	0.007	0.005	0.465
351	0.428	0.295	0.345	0.141	0.558	0.102	0.001	0.059	0.501
352	0.454	0.375	0.269	0.531	0.436	0.026	0.004	0.017	0.371
353	0.412	0.15	0.375	0.124	0.613	0.029	0.008	0.028	0.537
354	0.702	0.03	0.245	0.37	0.956	0.104	0.004	0.313	0.445
355	0.53	0.905	0.212	0.654	0.339	0.057	0.011	0.042	0.357
356	0.684	0.149	0.273	0.308	0.994	0.011	0.001	0.006	0.499
357	0.765	0.139	0.303	0.495	0.538	0.279	0.014	0.076	0.423
358	0.366	0.3	0.465	0.474	0.476	0.061	0.006	0.069	0.725
359	0.511	0.755	0.309	0.058	0.613	0.061	0.009	0.265	0.365
360	0.767	0.333	0.288	0.827	0.622	0.256	0.002	0.009	0.738
361	0.432	0.485	0.319	0.41	0.859	0.037	0.001	0.006	0.64
362	0.574	0.623	0.395	0.342	0.594	0.036	0.001	0.275	0.486
363	0.373	0.803	0.246	0.389	0.981	0.018	0.028	0.199	0.685
364	0.969	0.29	0.427	0.427	0.564	0.147	0.037	0.017	0.484
365	0.891	0.466	0.777	0.629	0.534	0.126	0.002	0.006	0.537
